deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
ABV_A_D1-ABV01,ABV01,,47.45814,-21.28415,10,2022-03-01T11:18:21+0300,2022-04-12T06:52:42+0300,,,,0.0,,,,False,none,,,none,,,,1665
ABV_A_D1-ABV02,ABV02,,47.45809,-21.28359,10,2022-03-01T11:48:00+0300,2022-04-12T09:10:26+0300,,,,0.0,,,,False,none,,,none,,,,1666
ABV_A_D2-ABV01,ABV01,,47.45814,-21.28415,10,2022-04-12T09:50:50+0300,2022-05-09T07:31:18+0300,,,,0.0,,,,False,none,,,none,,,,1669
ABV_A_D2-ABV02,ABV02,,47.45809,-21.28359,10,2022-04-12T09:39:11+0300,2022-05-09T07:41:26+0300,,,,0.0,,,,False,none,,,none,,,,1670
ABV_T_D1-ABV01,ABV01,,47.45814,-21.28415,10,2022-03-02T13:11:56+0300,2022-04-13T07:51:52+0300,,,,0.0,,,,False,none,,,none,,,,1667
ABV_T_D1-ABV02,ABV02,,47.45809,-21.28359,10,2022-03-01T11:49:43+0300,2022-04-12T09:23:20+0300,,,,0.0,,,,False,none,,,none,,,,1668
ABV_T_D2-ABV01,ABV01,,47.45814,-21.28415,10,2022-04-13T09:30:08+0300,2022-05-10T08:31:29+0300,,,,0.0,,,,False,none,,,none,,,,1677
ABV_T_D2-ABV02,ABV02,,47.45809,-21.28359,10,2022-04-12T08:47:00+0300,2022-05-09T08:39:53+0300,,,,0.0,,,,False,none,,,none,,,,1678
AGN_T_D1a-AGN01,AGN01,,49.81146,-14.48551,10,2023-04-10T09:31:24+0300,2023-05-20T08:28:55+0300,,,,0.0,,,,False,none,,,none,,,,2191
AGN_T_D1a-AGN02,AGN02,,49.81145,-14.4861,10,2023-04-10T10:39:35+0300,2023-05-20T08:12:23+0300,,,,0.0,,,,False,none,,,none,,,,2190
